relative_path,category,file_kind,current_exists,upstream_exists,case_only_collision,current_sha256,upstream_sha256,current_png_width,current_png_height,current_png_color_type,upstream_png_width,upstream_png_height,upstream_png_color_type,difference_status
blocks/campfire.png,blocks,png,no,yes,no,,b4e80f6bb481c894a7e2eb53100d3921a247c15765d285aed0966d72f0619189,,,,16,16,6 (truecolor-alpha),upstream-only
blocks/candle.png,blocks,png,no,yes,no,,2519fdedac44ef9418eb612e591951838be9e15203e5beb2078be01c8aeee9aa,,,,16,16,6 (truecolor-alpha),upstream-only
blocks/lantern.png,blocks,png,no,yes,no,,7fc4a234b27cc0377b377ed39fb6257409450598877ba4b220dd64d190477839,,,,16,16,6 (truecolor-alpha),upstream-only
blocks/npcBloodBlock.png,blocks,png,yes,yes,no,17f334427e7e4ba15537da7be9bd80df9d41fd357a1b6eb6a6ef200bb10d57c1,17f334427e7e4ba15537da7be9bd80df9d41fd357a1b6eb6a6ef200bb10d57c1,16,16,6 (truecolor-alpha),16,16,6 (truecolor-alpha),identical
blocks/npcBloodBlock2.png,blocks,png,yes,yes,no,d0aafdd23aac9ef9a6b803bf92513d282b61e713c815e69d7488ece8184ed2e7,d0aafdd23aac9ef9a6b803bf92513d282b61e713c815e69d7488ece8184ed2e7,16,16,6 (truecolor-alpha),16,16,6 (truecolor-alpha),identical
blocks/npcBloodBlock3.png,blocks,png,yes,yes,no,773bd975255ae62e9bdba0cbb9a6db00a7366f489ebf06c3584687f4e1a2de01,773bd975255ae62e9bdba0cbb9a6db00a7366f489ebf06c3584687f4e1a2de01,16,16,6 (truecolor-alpha),16,16,6 (truecolor-alpha),identical
blocks/npcBorder.png,blocks,png,yes,yes,no,ed1e04d4389136e704a12e0ed58515631c59c16b636e7b63085cc68d81019f5b,ed1e04d4389136e704a12e0ed58515631c59c16b636e7b63085cc68d81019f5b,16,16,2 (truecolor),16,16,2 (truecolor),identical
blocks/npcCarpentryBench.png,blocks,png,yes,no,no,37493775f4493ed77d18eaee8c7e6610cd43f79ccb6005c8c4ab6c7abe931481,,16,16,6 (truecolor-alpha),,,,current-only
blocks/npcCrystal.png,blocks,png,yes,yes,no,50ae4851b62e2a6f9f356aa28c5aaf7522ef913bb63836cc29e93eda809bcc16,50ae4851b62e2a6f9f356aa28c5aaf7522ef913bb63836cc29e93eda809bcc16,16,16,6 (truecolor-alpha),16,16,6 (truecolor-alpha),identical
blocks/npcRedstoneBlock.png,blocks,png,yes,yes,no,7802e35e5d4c656829aaadc99c0e5240a0f334c6ea8f7e589ad1358cffc07fb8,7802e35e5d4c656829aaadc99c0e5240a0f334c6ea8f7e589ad1358cffc07fb8,16,16,2 (truecolor),16,16,2 (truecolor),identical
blocks/npcScripted.png,blocks,png,no,yes,no,,4ba0a128d4fddde7f01548fbce6200342cdb67baa06f7c6e9b42baee5db2b437,,,,16,16,2 (truecolor),upstream-only
blocks/npcWaypoint.png,blocks,png,yes,yes,no,54ad91495031ce406e3566d20e66112576a7fadb7fde5b51201c87d64d8a0e34,54ad91495031ce406e3566d20e66112576a7fadb7fde5b51201c87d64d8a0e34,16,16,2 (truecolor),16,16,2 (truecolor),identical
blocks/placeholder_0.png,blocks,png,yes,yes,no,9f0def35880423df4c0fd7775f35f6dcbf9137c08b953b16ce686b95befa9849,9f0def35880423df4c0fd7775f35f6dcbf9137c08b953b16ce686b95befa9849,16,16,2 (truecolor),16,16,2 (truecolor),identical
blocks/placeholder_1.png,blocks,png,yes,yes,no,6675511936092be1dbdd008dd6e33c02dabb62c0c33139e99db7d4a024ac3649,6675511936092be1dbdd008dd6e33c02dabb62c0c33139e99db7d4a024ac3649,16,16,2 (truecolor),16,16,2 (truecolor),identical
blocks/placeholder_10.png,blocks,png,yes,yes,no,417cfaec53e80d67f4aea734051e1a8c69977c625eb7a7becde94604b3c82599,417cfaec53e80d67f4aea734051e1a8c69977c625eb7a7becde94604b3c82599,16,16,2 (truecolor),16,16,2 (truecolor),identical
blocks/placeholder_11.png,blocks,png,yes,yes,no,be203eda0e97a188b7cc2b830215d578a11c7c1e50101fc3ca6976d8b47d16bf,be203eda0e97a188b7cc2b830215d578a11c7c1e50101fc3ca6976d8b47d16bf,16,16,2 (truecolor),16,16,2 (truecolor),identical
blocks/placeholder_12.png,blocks,png,yes,yes,no,f02404b0a24201cbfc9ac226f38127d604fee30f8458b64dc55d63b137d40d07,f02404b0a24201cbfc9ac226f38127d604fee30f8458b64dc55d63b137d40d07,16,16,2 (truecolor),16,16,2 (truecolor),identical
blocks/placeholder_13.png,blocks,png,yes,yes,no,0a58e60584559e2b6bc668d2f943771f5fff8f4c29076e47d41e2361f95fcc95,0a58e60584559e2b6bc668d2f943771f5fff8f4c29076e47d41e2361f95fcc95,16,16,2 (truecolor),16,16,2 (truecolor),identical
blocks/placeholder_14.png,blocks,png,yes,yes,no,4abe9a8b278e94edde9469f0a983b29ef64f1479d8259029923821c88c437a8f,4abe9a8b278e94edde9469f0a983b29ef64f1479d8259029923821c88c437a8f,16,16,2 (truecolor),16,16,2 (truecolor),identical
blocks/placeholder_15.png,blocks,png,yes,yes,no,5280f7c47c072ef3b8394479bb53dfb9bef0af0aa5d7bee38a9e1d89bf51a5c5,5280f7c47c072ef3b8394479bb53dfb9bef0af0aa5d7bee38a9e1d89bf51a5c5,16,16,2 (truecolor),16,16,2 (truecolor),identical
blocks/placeholder_2.png,blocks,png,yes,yes,no,a07bd1e1268a22d915109f76d9130dbd1c176336aa548621a2fb422385c147a4,a07bd1e1268a22d915109f76d9130dbd1c176336aa548621a2fb422385c147a4,16,16,2 (truecolor),16,16,2 (truecolor),identical
