relative_path,consumer_evidence,consumers,conditions,flags,evidence_note
items/npcAirElement.png,static-extracted,ItemNpcInterface|npcAirElement|CustomItems.java:732|extra-items-enabled,extra-items-enabled,animated-strip;manual-review,literal customnpcs texture registration in a parsed Java statement
items/npcAirElement.png.mcmeta,not-applicable-sidecar,,,animated-strip;manual-review,animation metadata is outside the static item audit
items/npcAmethyst.png,static-extracted,ItemNpcInterface|npcAmethyst|CustomItems.java:744|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcAncientCoin.png,static-extracted,ItemNpcInterface|npcAncientCoin|CustomItems.java:364|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcAncientScroll.png,static-extracted,ItemNpcInterface|npcAncientScroll|CustomItems.java:753|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcArcaneSpell.png,static-extracted,ItemNpcInterface|npcArcaneSpell|CustomItems.java:415|extra-items-enabled,extra-items-enabled,animated-strip;manual-review,literal customnpcs texture registration in a parsed Java statement
items/npcArcaneSpell.png.mcmeta,not-applicable-sidecar,,,animated-strip;manual-review,animation metadata is outside the static item audit
items/npcArtifact.png,static-extracted,ItemNpcInterface|npcArtifact|CustomItems.java:754|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcAssassinBoots.png,static-extracted,ItemNpcArmor|npcAssassinBoots|CustomItems.java:670|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcAssassinChest.png,static-extracted,ItemNpcArmor|npcAssassinChest|CustomItems.java:668|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcAssassinHead.png,static-extracted,ItemNpcArmor|npcAssassinHead|CustomItems.java:667|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcAssassinLeggings.png,static-extracted,ItemNpcArmor|npcAssassinLeggings|CustomItems.java:669|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcBag.png,static-extracted,ItemNpcInterface|npcBag|CustomItems.java:721|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcBanditMask.png,static-extracted,ItemNpcArmor|npcBanditMask|CustomItems.java:727|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcBanjo.png,static-extracted,ItemBanjo|npcBanjo|CustomItems.java:282|always,always,,literal customnpcs texture registration in a parsed Java statement
items/npcBaseballBat.png,static-extracted,ItemNpcWeaponInterface|npcBaseballBat|CustomItems.java:438|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcBatton.png,static-extracted,ItemNpcWeaponInterface|npcBatton|CustomItems.java:456|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcBearClaw.png,static-extracted,ItemClaw|npcBearClaw|CustomItems.java:567|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcBlackBullet.png,static-extracted,ItemBullet|npcBlackBullet|CustomItems.java:388|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcBlueprint.png,static-extracted,ItemNpcInterface|npcBlueprint|CustomItems.java:738|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcBoStaff.png,static-extracted,ItemGlaive|npcBoStaff|CustomItems.java:448|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcBrokenArrow.png,static-extracted,ItemNpcInterface|npcBrokenArrow|CustomItems.java:728|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcBrokenBottle.png,static-extracted,ItemNpcWeaponInterface|npcBrokenBottle|CustomItems.java:444|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcBrokenOrb.png,static-extracted,ItemOrb|npcBrokenOrb|CustomItems.java:424|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcBronzeBattleAxe.png,static-extracted,ItemBattleAxe|npcBronzeBattleAxe|CustomItems.java:516|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcBronzeBroadsword.png,static-extracted,ItemBroadSword|npcBronzeBroadsword|CustomItems.java:609|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcBronzeBullet.png,static-extracted,ItemBullet|npcBronzeBullet|CustomItems.java:382|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcBronzeDagger.png,static-extracted,ItemDagger|npcBronzeDagger|CustomItems.java:554|extra-items-enabled;ItemDaggerReversed|npcBronzeReversedDagger|CustomItems.java:555|extra-items-enabled,extra-items-enabled,icon-override;shared-icon,literal customnpcs texture registration in a parsed Java statement
items/npcBronzeGlaive.png,static-extracted,ItemGlaive|npcBronzeGlaive|CustomItems.java:598|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcBronzeGun.png,static-extracted,ItemGun|npcBronzeGun|CustomItems.java:381|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcBronzeHalberd.png,static-extracted,ItemSpear|npcBronzeHalberd|CustomItems.java:505|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcBronzeIngot.png,static-extracted,ItemNpcInterface|npcBronzeIngot|CustomItems.java:750|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcBronzeMace.png,static-extracted,ItemNpcWeaponInterface|npcBronzeMace|CustomItems.java:538|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcBronzeScythe.png,static-extracted,ItemScythe|npcBronzeScythe|CustomItems.java:588|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
